INCIDENT_NO,INCIDENT_DATE,CASE_NO,CFS_NO,DISTRICT,INCIDENT_TYPE,INCIDENT_DESCRIPTION,INCIDENT_LOCATION_X,LATITUDE_X,LONGITUDE_X,SUBJECT_GENDER,SUBJECT_RACE,OFFICER_GENDER,OFFICER_RACE
-6388,10/09/2002 11:05:00 PM,20020643,P022821791,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,25XX CHATHAM ST,39.1274932154623,-84.4915943594334,MALE,BLACK,MALE,WHITE
5879,05/05/2011 09:38:00 PM,2011-156185,LCP110505001715,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,52XX COLERAIN AV,39.1850101087874,-84.5682977905046,MALE,BLACK,FEMALE,WHITE
5356,06/16/2010 07:17:00 PM,2010-144836,LCP100616001440,DISTRICT 3,9826,INJURY TO PRISONER,61XX GLENWAY AV,39.1423742116005,-84.6234483097123,MALE,WHITE,MALE,BLACK
2671,10/06/2006 09:35:00 PM,2006-89678,P062791894,DISTRICT 1,9826,INJURY TO PRISONER,X W 15TH ST,39.1116231470777,-84.515587190453,FEMALE,BLACK,MALE,BLACK
-8073,08/09/2004 07:02:00 PM,20040576,P042221378,DISTRICT 1,9826,INJURY TO PRISONER,XX W 4TH ST,39.0992233639662,-84.5142222779618,MALE,WHITE,MALE,WHITE
3613,12/10/2007 05:17:00 PM,2007-107133,LCP071210001145,DISTRICT 3,9826,INJURY TO PRISONER,11XX ROSEMONT AV,39.1118496612553,-84.5843385693254,MALE,WHITE,MALE,WHITE
-7986,06/25/2004 06:10:00 PM,20040488,P041771408,DISTRICT 1,9826,INJURY TO PRISONER,5XX E 13TH ST,39.1109503870846,-84.5054117241276,MALE,BLACK,MALE,WHITE
6303,02/01/2012 12:56:00 AM,2012-165615,LCP120201000036,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,XX E 76TH ST,39.1994933300725,-84.4738464965118,MALE,BLACK,MALE,WHITE
-1437,03/13/1998 05:22:00 PM,9800190,P980720884,DISTRICT 3,9825,CHEMICAL IRRITANT,4XX CONSIDINE AV,39.0997516248906,-84.5631204595857,MALE,BLACK,MALE,BLACK
-4085,08/23/2000 04:48:00 PM,20000781,P002361026,DISTRICT 5,9826,INJURY TO PRISONER,32XX JEFFERSON AV,39.1376003502769,-84.5131787329592,MALE,BLACK,MALE,WHITE
5923,06/01/2011 09:29:00 PM,2011-157129,LCP110601001737,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,X LENOX LN,39.1537037802342,-84.4820202210603,MALE,WHITE,MALE,BLACK
7054,08/11/2013 06:23:00 PM,2013-183575,LCP130811001263,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,10XX PURCELL AV,39.1105439336524,-84.5644648112331,MALE,BLACK,MALE,WHITE
5872,02/26/2011 08:28:00 PM,2011-156032,LCP110226001322,DISTRICT 4,9823,NONCOMPLIANT SUSPECT/ARRESTEE,35XX BOGART AV,39.1482832553765,-84.4923518451565,MALE,BLACK,MALE,WHITE
-6501,12/03/2002 03:25:00 PM,20020756,P023370913,DISTRICT 3,9825,CHEMICAL IRRITANT,29XX WARSAW AV,39.1099983758982,-84.5601415272841,MALE,BLACK,MALE,WHITE
-5509,09/30/2001 10:10:00 PM,20010932,P012731271,DISTRICT 4,9825,CHEMICAL IRRITANT,22XX IOWA AV,39.1226800678119,-84.500541275511,MALE,BLACK,MALE,WHITE
7688,11/28/2014 11:47:00 AM,2014-196771,LCP141128000375,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,15XX FRANKLIN AV,39.1754383694935,-84.4714419949019,MALE,BLACK,MALE,BLACK
5749,02/14/2011 01:29:00 AM,2011-153322,LCP110214000079,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,75XX READING RD,39.1991963042704,-84.4573620032691,MALE,BLACK,FEMALE,BLACK
-5941,04/04/2002 04:13:00 PM,20020192,P020940941,DISTRICT 5,9826,INJURY TO PRISONER,49XX HAMILTON AV,39.1804683551251,-84.5449579959115,MALE,BLACK,MALE,WHITE
-6216,07/31/2002 11:06:00 AM,20020469,P022120567,DISTRICT 1,9826,INJURY TO PRISONER,1XX E CLIFTON AV,39.1155112981876,-84.5140249775412,MALE,BLACK,MALE,WHITE
7056,08/13/2013 02:54:00 PM,2013-183645,LCP130813001032,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,14XX JOSEPH ST,39.171709081337,-84.47341900137,MALE,BLACK,FEMALE,WHITE
6128,09/24/2011 02:23:00 AM,2011-161491,LCP110924000193,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,26XX VINE ST,39.1293779592401,-84.509190621639,MALE,BLACK,MALE,BLACK
4100,07/18/2008 01:20:00 AM,2008-117448,LCP080718000101,DISTRICT 3,9826,INJURY TO PRISONER,45XX W 8TH ST,39.1095514906826,-84.6008149724151,MALE,WHITE,MALE,WHITE
4075,07/06/2008 07:41:00 AM,2008-116851,LCP080706000380,DISTRICT 1,9826,INJURY TO PRISONER,2XX E 8TH ST,39.1060186144604,-84.5104216004062,MALE,WHITE,MALE,WHITE
6044,08/11/2011 11:33:00 AM,2011-159839,LCP110811000594,DISTRICT 1,2382,USE OF FORCE INVESTIGATION,13XX WALNUT ST,39.1098649716799,-84.5144304382985,MALE,BLACK,MALE,WHITE
2419,07/13/2006 07:12:00 PM,2006-85498,P061941551,DISTRICT 5,9826,INJURY TO PRISONER,29XX BURLINGTON PL,39.1370684290586,-84.5383642484246,MALE,WHITE,FEMALE,WHITE
9076,09/03/2017 05:43:00 PM,2017-228358,CPD170903000974,DISTRICT 3,9826,INJURY TO PRISONER,26XX HARRISON AV,39.1426371587137,-84.5874004910136,MALE,BLACK,MALE,WHITE
-360,10/19/1996 01:40:00 PM,9600517,P962930599,DISTRICT 1,2382,USE OF FORCE INVESTIGATION,14XX WALNUT ST,39.1104024845019,-84.514397274374,MALE,BLACK,MALE,WHITE
8356,03/12/2016 09:03:00 PM,2016-211043,LCP160312001414,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,17XX BLUE ROCK ST,39.1607795408391,-84.5435405449117,FEMALE,BLACK,MALE,WHITE
-901,08/13/1997 04:00:00 PM,9700552,P972250764,DISTRICT 3,9826,INJURY TO PRISONER,21XX HATMAKER ST,39.1047311901659,-84.5518865677769,MALE,WHITE,FEMALE,WHITE
-4694,02/21/2001 12:50:00 PM,20010111,P010520697,DISTRICT 1,9825,CHEMICAL IRRITANT,XX E CLIFTON AV,39.1161124146479,-84.5148695730114,MALE,BLACK,FEMALE,WHITE
7150,10/29/2013 06:00:00 PM,2013-186030,LCP131029001225,DISTRICT 4,9826,INJURY TO PRISONER,33XX BURNET AV,39.1418085675794,-84.5022515210295,FEMALE,BLACK,FEMALE,WHITE
1413,07/31/2005 05:51:00 PM,2005-70871,P052121132,DISTRICT 1,9826,INJURY TO PRISONER,1XX E MCMICKEN AV,39.1139572589693,-84.5143662654427,MALE,BLACK,FEMALE,WHITE
4980,10/24/2009 01:36:00 AM,2009-137138,LCP091024000135,CVCS,2382,USE OF FORCE INVESTIGATION,20XX COLERAIN AV,39.1203227266971,-84.533104050455,MALE,BLACK,MALE,WHITE
5408,06/16/2010 08:06:00 PM,2010-145768,LCP100616001555,DISTRICT 2,9823,NONCOMPLIANT SUSPECT/ARRESTEE,35XX MONTGOMERY RD,39.1451007454817,-84.4687898625129,MALE,BLACK,MALE,WHITE
-3977,07/28/2000 03:05:00 PM,20000673,P002100833,DISTRICT 3,9825,CHEMICAL IRRITANT,9XX ELBERON AV,39.1084157424813,-84.5657013684527,MALE,WHITE,MALE,TWO OR MORE
-4484,11/30/2000 05:00:00 PM,20001182,P033551091,DISTRICT 1,9826,INJURY TO PRISONER,3XX W 14TH ST,39.1099689526218,-84.5202405298033,FEMALE,BLACK,MALE,WHITE
4972,10/20/2009 08:01:00 PM,2009-136979,LCP0910200001554,VORTEX UNIT,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,19XX FREEMAN AV,39.117493319205,-84.5319721038972,MALE,BLACK,MALE,WHITE
-6636,01/19/2003 05:07:00 AM,20030042,P030190231,DISTRICT 1,2382,USE OF FORCE INVESTIGATION,16XX PLEASANT ST,39.1143409387537,-84.5185346287345,MALE,BLACK,MALE,WHITE
-7451,12/26/2003 06:44:00 PM,20030878,P033601133,DISTRICT 4,9825,CHEMICAL IRRITANT,37XX READING RD,39.1524053117711,-84.4847809534141,MALE,BLACK,MALE,WHITE
-4913,04/10/2001 06:00:00 PM,20010332,,DISTRICT 1,9825,CHEMICAL IRRITANT,13XX RACE ST,39.1100950018154,-84.5177235999322,OTHER,UNKNOWN,MALE,WHITE
8797,02/12/2017 10:03:00 PM,2017-221829,CPD170212001478,CENTRAL BUSINESS DISTRICT,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,1XX E 4TH ST,39.0995193091624,-84.5109542988388,MALE,BLACK,MALE,BLACK
3008,03/09/2007 05:21:00 PM,2007-95589,P070681123,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,72XX VINE ST,39.1952948418054,-84.4796997947907,MALE,WHITE,FEMALE,WHITE
659,07/19/2004 07:40:00 PM,2005-60991,P042111665,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,1XX W 15TH ST,39.1103419852456,-84.5181379149734,MALE,BLACK,MALE,TWO OR MORE
1632,09/22/2005 09:22:00 PM,2005-73745,P052651849,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,14XX WALNUT ST,39.1107774449046,-84.512718099506,MALE,BLACK,MALE,WHITE
7630,10/16/2014 11:08:00 AM,2014-195442,LCP141016000586,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,70XX READING RD,39.1893694226651,-84.4640688017689,MALE,BLACK,MALE,BLACK
4008,06/05/2008 06:00:00 PM,2008-115292,LCP080605001865,DISTRICT 2,8223,WEAPON DISCHARGE AT AN ANIMAL,16XX DAUNER AV,39.1418249804271,-84.4741430044563,MALE,BLACK,MALE,WHITE
-1201,11/30/1997 03:07:00 AM,9701450,P973340228,DISTRICT 1,9825,CHEMICAL IRRITANT,16XX VINE ST,39.1135349296116,-84.5169465284749,MALE,BLACK,MALE,WHITE
-335,10/29/1996 07:18:00 PM,9600490,P963031048,DISTRICT 1,2382,USE OF FORCE INVESTIGATION,6XX MAIN ST,39.1031645627376,-84.510928776143,MALE,WHITE,MALE,WHITE
-5547,10/11/2001 04:11:00 PM,20010971,P012841015,DISTRICT 1,9825,CHEMICAL IRRITANT,16XX MAIN ST,39.1126069032452,-84.5131232252351,MALE,BLACK,MALE,WHITE
3343,07/29/2007 11:11:00 AM,2007-101613,P072100559,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,10XX SYCAMORE ST,39.1061692703841,-84.5084133658817,MALE,BLACK,MALE,NATIVE HAWAIIAN
-5780,01/07/2002 04:04:00 PM,20020031,P020070891,DISTRICT 2,9826,INJURY TO PRISONER,42XX WHETSEL AV,39.1503253551736,-84.3940782970554,MALE,BLACK,MALE,WHITE
4172,08/17/2008 10:42:00 PM,2008-118960,LCP080817001545,DISTRICT 2,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,19XX SUTTON AV,39.0893859018161,-84.3890841311968,FEMALE,WHITE,MALE,BLACK
-8020,06/01/2004 09:26:00 AM,20040522,P041530445,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,15XX RACE ST,39.1112247054528,-84.5182685275097,MALE,BLACK,MALE,WHITE
-7903,06/17/2004 01:47:00 PM,20040403,P041690829,DISTRICT 3,9825,CHEMICAL IRRITANT,36XX SCHWARTZE AV,39.1473131911824,-84.6209385633391,MALE,WHITE,FEMALE,WHITE
8473,05/01/2016 05:01:00 PM,2016-213955,LCP160501001076,DISTRICT 2,9823,NONCOMPLIANT SUSPECT/ARRESTEE,38XX DRAKEWOOD DR,39.1508237777018,-84.4341756062242,FEMALE,ASIAN,FEMALE,BLACK
6332,02/19/2012 08:16:00 PM,2012-166342,LCP120219001120,DISTRICT 4,9826,INJURY TO PRISONER,8XX OAK ST,39.1295049057147,-84.4926976494659,MALE,BLACK,MALE,WHITE
7993,07/31/2015 10:45:00 PM,2015-204161,LCP150731001585,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,5XX WALNUT ST,39.1014145711063,-84.511728031456,MALE,BLACK,MALE,HISPANIC/LATINO
-7108,06/29/2003 07:38:00 PM,20030533,P031801235,DISTRICT 4,9826,INJURY TO PRISONER,34XX DURY AV,39.1442818825006,-84.5060819139781,FEMALE,BLACK,MALE,WHITE
3233,06/13/2007 02:10:00 AM,2007-99646,P071640186,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,63XX REVERE AV,39.1091594584561,-84.6864740838143,MALE,BLACK,MALE,WHITE
6781,01/29/2013 10:35:00 PM,2013-177872,LCP130129001851,DISTRICT 1,9826,INJURY TO PRISONER,XX E 13TH ST,39.1090640319988,-84.5136846126089,FEMALE,BLACK,MALE,WHITE
-5283,07/15/2001 03:52:00 AM,20010703,P011960263,DISTRICT 4,9825,CHEMICAL IRRITANT,78XX NEWBEDFORD AV,39.2065566714888,-84.4564791503368,MALE,BLACK,MALE,WHITE
6367,03/22/2012 11:45:00 AM,2012-167365,LCP120322000636,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,54XX GLENWAY AV,39.1279642607088,-84.6051152036026,MALE,BLACK,MALE,WHITE
-7817,05/09/2004 05:20:00 PM,20040317,P041301067,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,11XX RACE ST,39.1081150650465,-84.5149885614487,MALE,BLACK,FEMALE,WHITE
4920,09/20/2009 01:58:00 PM,2009-135762,LCP090920000853,DISTRICT 4,9825,CHEMICAL IRRITANT,9XX E MCMILLAN ST,39.1268476189399,-84.4876060639544,FEMALE,BLACK,FEMALE,BLACK
-4340,10/14/2000 02:31:00 AM,20001037,P002880235,DISTRICT 5,9825,CHEMICAL IRRITANT,XX KESSLER AV,39.1641172274757,-84.504148772268,MALE,BLACK,MALE,WHITE
2994,03/01/2007 09:30:00 PM,2007-95322,P070601657,DISTRICT 1,9826,INJURY TO PRISONER,1XX GREEN ST,39.1134101539431,-84.5178160337163,MALE,BLACK,MALE,BLACK
6769,12/16/2012 03:32:00 PM,2013-177352,LCP121216000833,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,XX W 4TH ST,39.0993928322422,-84.5124834119425,FEMALE,BLACK,FEMALE,WHITE
6456,05/22/2012 03:12:00 PM,2012-169586,LCP120522001083,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,25XX GILBERT AV,,,MALE,BLACK,MALE,WHITE
-6132,06/23/2002 03:15:00 AM,20020385,P021740190,DISTRICT 2,9825,CHEMICAL IRRITANT,X W CORRY ST,39.1299800328909,-84.5103367457541,FEMALE,WHITE,MALE,BLACK
2189,04/23/2006 01:55:00 AM,2006-81795,P061130178,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,2XX E 12TH ST,39.1090777634749,-84.5119472775358,MALE,ASIAN,MALE,WHITE
-3834,06/09/2000 03:59:00 AM,20000527,P001610172,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,35XX WASHINGTON AV,39.1486451608555,-84.4961183048912,MALE,BLACK,MALE,WHITE
7395,05/01/2014 10:00:00 AM,2014-190870,LCP140501000441,DISTRICT 2,9826,INJURY TO PRISONER,36XX MONTGOMERY RD,39.1450019666474,-84.4703812198262,FEMALE,WHITE,MALE,WHITE
5487,07/12/2010 08:20:00 PM,2010-147400,LCP100712001520,DISTRICT 3,9823,NONCOMPLIANT SUSPECT/ARRESTEE,31XX BOUDINOT AV,39.1425829988952,-84.6053460037185,MALE,BLACK,MALE,BLACK
7189,10/13/2013 06:30:00 PM,2013-186436,LCP131013001125,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,5XX CENTRAL AV,39.1011284398101,-84.5182066695639,MALE,WHITE,MALE,BLACK
-7032,06/11/2003 04:53:00 PM,20030457,P031621189,DISTRICT 4,9826,INJURY TO PRISONER,9XX CHAPEL ST,39.1306715864557,-84.4865440797944,MALE,BLACK,MALE,WHITE
8405,04/21/2016 09:25:00 AM,2016-212288,LCP160421000418,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,21XX STAEBLER ST,39.1040690213726,-84.5521597163333,MALE,WHITE,MALE,WHITE
954,03/26/2005 01:09:00 AM,2005-63867,P050850095,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,XX W LIBERTY ST,39.1139487068001,-84.5167730024551,MALE,BLACK,MALE,WHITE
8586,09/13/2016 06:07:00 PM,2016-217142,LCP160913001332,DISTRICT 5,9826,INJURY TO PRISONER,24XX VINE ST,39.1263883903617,-84.5125932514235,FEMALE,WHITE,MALE,WHITE
5806,03/16/2011 12:50:00 AM,2011-154345,LCP110316000043,DISTRICT 1,9826,INJURY TO PRISONER,8XX SYCAMORE ST,39.1044009932001,-84.5083190084809,MALE,WHITE,MALE,WHITE
8191,11/13/2015 10:45:00 PM,2015-207190,3322,DISTRICT 3,9826,INJURY TO PRISONER,28XX WARSAW AV,39.1101931103914,-84.5589460460294,MALE,WHITE,MALE,WHITE
3735,02/03/2008 02:00:00 AM,2008-109529,LCP080203000157,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,XX E 6TH ST,39.1020621380644,-84.5114414885465,MALE,WHITE,MALE,BLACK
8192,11/14/2015 06:49:00 PM,2015-207205,LCP151114001086,CENTRAL BUSINESS DISTRICT,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,5XX VINE ST,39.1012978392572,-84.513247720729,MALE,WHITE,FEMALE,BLACK
4797,07/12/2009 01:55:00 AM,2009-132934,LCP090712000041,DISTRICT 5,9826,INJURY TO PRISONER,12XX W GALBRAITH RD,39.2162816890572,-84.5317657800612,MALE,WHITE,MALE,WHITE
5713,01/03/2011 07:01:00 PM,2011-152436,LCP110103001238,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,2XX W 12TH ST,39.1070563963416,-84.5182197245682,MALE,BLACK,MALE,WHITE
-7855,05/21/2004 02:00:00 PM,20040355,P041420920,DISTRICT 2,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,53XX STEWART AV,39.1652670417199,-84.3964506982966,MALE,BLACK,MALE,WHITE
3502,10/05/2007 10:20:00 AM,2007-104487,P072780551,DISTRICT 3,9826,INJURY TO PRISONER,9XX HAWTHORNE AV,39.110209847057,-84.5619827745595,FEMALE,WHITE,MALE,WHITE
4037,06/17/2008 10:04:00 PM,2008-115853,LCP080617001862,DISTRICT 5,9826,INJURY TO PRISONER,53XX BAHAMA TER,39.1889805949277,-84.5665354554362,MALE,BLACK,MALE,BLACK
767,11/25/2004 10:09:00 AM,2005-61628,P043300377,DISTRICT 2,9823,NONCOMPLIANT SUSPECT/ARRESTEE,30XX CLEINVIEW AV,39.1319754133507,-84.4727724159473,MALE,BLACK,MALE,WHITE
5190,03/17/2010 04:21:00 PM,2010-141810,LCP100317001126,VORTEX UNIT,2382,USE OF FORCE INVESTIGATION,XX E LIBERTY ST,39.1132570332642,-84.5146302471222,MALE,BLACK,MALE,HISPANIC/LATINO
-308,12/14/1996 03:25:00 PM,9600463,P963490635,DISTRICT 3,9825,CHEMICAL IRRITANT,23XX WILDER AV,39.1074844919158,-84.552532057777,MALE,WHITE,MALE,WHITE
-5451,09/12/2001 02:19:00 AM,20010872,P012250103,DISTRICT 1,9826,INJURY TO PRISONER,17XX ELM ST,39.1134316839104,-84.5198425335012,MALE,BLACK,MALE,BLACK
-1754,06/27/1998 12:48:00 AM,9800514,P981780098,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,36XX READING RD,39.1478215567677,-84.4873348441735,MALE,BLACK,MALE,WHITE
7010,07/30/2013 11:40:00 PM,2013-183211,LCP 130730002080,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,37XX ST LAWRENCE AV,39.1098767964603,-84.5768385427776,MALE,BLACK,MALE,BLACK
8141,10/12/2015 08:31:00 PM,2015-206084,LCP151012001490,DISTRICT 2,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,61XX CAMPUS LN,39.0915821494842,-84.3894157774167,MALE,WHITE,MALE,WHITE
-6431,10/23/2002 09:28:00 PM,20020686,P022961568,DISTRICT 5,2382,USE OF FORCE INVESTIGATION,9XX VENETIAN TER,39.1976501903177,-84.5288155166212,MALE,BLACK,MALE,BLACK
-6430,10/22/2002 07:29:00 PM,20020685,P022951387,DISTRICT 2,2382,USE OF FORCE INVESTIGATION,36XX ZINSLE AV,39.1857900924623,-84.4122789268213,MALE,BLACK,MALE,WHITE
7359,01/16/2014 10:13:00 PM,2014-190546,LCP14011601917,DISTRICT 5,9823,NONCOMPLIANT SUSPECT/ARRESTEE,2XX CALHOUN ST,39.128188543066,-84.5167423115049,MALE,BLACK,MALE,BLACK
2974,02/24/2007 12:26:00 AM,2007-95106,P070541857,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,47XX GREEN GLEN LN,39.1226693708153,-84.5960295183282,MALE,WHITE,FEMALE,WHITE
4288,10/16/2008 12:28:00 AM,2008-121763,LCP081016000048,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,X W CORRY ST,39.1286600328909,-84.5096167457541,MALE,BLACK,MALE,WHITE
6400,04/19/2012 01:38:00 AM,2012-168371,LCP120418001982,DISTRICT 3,9826,INJURY TO PRISONER,32XX WARSAW AV,39.1098612729244,-84.5624537565382,MALE,WHITE,MALE,BLACK
1477,07/22/2005 01:39:00 AM,2005-71927,P052030135,DISTRICT 4,9823,NONCOMPLIANT SUSPECT/ARRESTEE,6XX FOREST AV,39.1469873844249,-84.4931904888699,MALE,BLACK,MALE,WHITE
-5155,06/04/2001 11:30:00 AM,20010575,P011550489,DISTRICT 1,9825,CHEMICAL IRRITANT,5XX VINE ST,39.1018778392572,-84.511677720729,MALE,BLACK,MALE,WHITE
8638,10/18/2016 12:10:00 AM,2016-218364,LCP161018000042,DISTRICT 3,9826,INJURY TO PRISONER,9XX ELBERON AV,39.1084410597216,-84.5646377031863,MALE,WHITE,MALE,WHITE
7902,06/09/2015 11:24:00 PM,2015-202254,LCP150609001856,DISTRICT 5,2382,USE OF FORCE INVESTIGATION,17XX CHASE AV,39.1643014230589,-84.5469382861138,MALE,BLACK,FEMALE,BLACK
4755,04/11/2009 10:28:00 PM,2009-131803,LCP090411001607,DISTRICT 3,9823,NONCOMPLIANT SUSPECT/ARRESTEE,33XX MCHENRY AV,39.1480485305873,-84.5724073036781,MALE,BLACK,MALE,WHITE
4188,08/12/2008 09:50:00 PM,2008-119288,LCP080812001880,DISTRICT 3,9823,NONCOMPLIANT SUSPECT/ARRESTEE,61XX GLENWAY AV,39.1423842116005,-84.6218983097123,MALE,WHITE,MALE,BLACK
6811,03/04/2013 02:42:00 AM,2013-178643,LCP1303040000,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,3XX W 4TH ST,39.0987063467518,-84.5173933950053,FEMALE,BLACK,FEMALE,BLACK
-503,01/14/1997 03:42:00 PM,9700144,P970140629,DISTRICT 1,2382,USE OF FORCE INVESTIGATION,19XX FREEMAN AV,39.117123319205,-84.5315221038972,MALE,BLACK,MALE,WHITE
-74,07/08/1996 09:56:00 PM,9600227,P961901130,DISTRICT 1,9826,INJURY TO PRISONER,10XX SYCAMORE ST,39.1077892703841,-84.5092433658817,MALE,BLACK,MALE,WHITE
-6569,11/27/2002 12:10:00 PM,20020825,P023310520,DISTRICT 3,2382,USE OF FORCE INVESTIGATION,57XX GLENWAY AV,39.1343189868634,-84.6112226789481,MALE,WHITE,MALE,BLACK
1313,07/05/2005 05:53:00 PM,2005-69278,P051861401,DISTRICT 1,9826,INJURY TO PRISONER,11XX RACE ST,39.1063567582156,-84.5152882664552,MALE,WHITE,MALE,HISPANIC/LATINO
-7187,08/03/2003 08:18:00 AM,20030612,P032150394,DISTRICT 3,8223,WEAPON DISCHARGE AT AN ANIMAL,28XX ROBERT AV,39.1382994819406,-84.5725704960028,MALE,BLACK,MALE,BLACK
8368,03/21/2016 07:09:00 AM,2016-211201,LCP160321000203,CENTRAL BUSINESS DISTRICT,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,10XX GILBERT AV,39.1085024130245,-84.5045798051026,MALE,BLACK,MALE,BLACK
4391,12/22/2008 04:35:00 PM,2008-124502,LCP081222001074,VORTEX UNIT,9826,INJURY TO PRISONER,16XX VINE ST,39.1131607733992,-84.5156664368371,MALE,BLACK,MALE,WHITE
748,12/30/2004 03:07:00 PM,2005-61498,P043650779,DISTRICT 3,8223,WEAPON DISCHARGE AT AN ANIMAL,30XX LEHMAN RD,39.1148492844524,-84.5613938796103,OTHER,UNKNOWN,MALE,BLACK
-5414,08/14/2001 01:20:00 PM,20010835,P012260815,DISTRICT 5,9826,INJURY TO PRISONER,4XX KINGS RUN DR,39.1773255679427,-84.5097362041214,FEMALE,BLACK,FEMALE,WHITE
9101,09/20/2017 06:11:00 PM,2017-228958,CPD170920001498,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,42XX W EIGHTH ST,,,MALE,WHITE,MALE,WHITE
9101,09/20/2017 06:11:00 PM,2017-228958,CPD170920001498,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,42XX W EIGHTH ST,,,MALE,WHITE,MALE,WHITE
5156,02/23/2010 02:59:00 AM,2010-140925,LCP100223000110,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,46XX PADDOCK RD,39.1690073755544,-84.4785297359646,MALE,BLACK,FEMALE,WHITE
-3358,01/06/2000 11:15:00 PM,20000046,P000061310,DISTRICT 3,9825,CHEMICAL IRRITANT,32XX WARSAW AV,39.1098012729244,-84.5640737565382,MALE,WHITE,FEMALE,WHITE
-976,07/27/1997 02:03:00 AM,9700627,P972080191,DISTRICT 3,9826,INJURY TO PRISONER,44XX RIVER RD,39.0790148386655,-84.6270805613376,MALE,WHITE,MALE,BLACK
7741,01/15/2015 05:15:00 AM,2015-198397,LCP150115000110,DISTRICT 4,9823,NONCOMPLIANT SUSPECT/ARRESTEE,75XX READING RD,39.1972390656207,-84.458213970122,MALE,WHITE,MALE,WHITE
3026,03/19/2007 02:45:00 AM,2007-95872,P070780089,DISTRICT 1,3822,ACCIDENTAL DISCHARGE,10XX SYCAMORE ST,39.1059592703841,-84.5097133658817,OTHER,UNKNOWN,FEMALE,WHITE
-1472,03/16/1998 02:30:00 PM,9800226,P980750601,DISTRICT 1,2382,USE OF FORCE INVESTIGATION,5XX VINE ST,39.1016376478218,-84.5123854624723,MALE,WHITE,MALE,WHITE
1940,01/22/2006 02:10:00 AM,2006-78137,P060220211,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,2XX E 12TH ST,39.1088977634749,-84.5105172775358,MALE,BLACK,MALE,WHITE
-2227,12/27/1998 11:33:00 PM,9800988,P983611002,DISTRICT 1,9825,CHEMICAL IRRITANT,16XX CENTRAL AV,39.1144272671201,-84.5226141101976,MALE,BLACK,FEMALE,BLACK
